id,clave,name,descripcion
__export__.unidadesmedida_GLD,GLD,dry gallon (US),
__export__.unidadesmedida_QTD,QTD,dry quart (US),
__export__.unidadesmedida_G26,G26,stere,
__export__.unidadesmedida_G21,G21,cup [unit of volume],
__export__.unidadesmedida_G24,G24,tablespoon (US),
__export__.unidadesmedida_G25,G25,teaspoon (US),
__export__.unidadesmedida_G23,G23,peck,
__export__.unidadesmedida_M67,M67,acre-foot (based on U.S. survey foot),"Unit of the volume, which is used in the United States to measure/gauge the capacity of reservoirs."
__export__.unidadesmedida_M68,M68,cord (128 ft3),Traditional unit of the volume of stacked firewood which has been measured with a cord.
__export__.unidadesmedida_M69,M69,cubic mile (UK statute),Unit of volume according to the Imperial system of units.
__export__.unidadesmedida_M70,M70,"ton, register ",Traditional unit of the cargo capacity.
__export__.unidadesmedida_G27,G27,cubic centimetre per kelvin,
__export__.unidadesmedida_G29,G29,cubic metre per kelvin,
__export__.unidadesmedida_G28,G28,litre per kelvin,
__export__.unidadesmedida_G30,G30,millilitre per kelvin,
__export__.unidadesmedida_J36,J36,microlitre per litre,
__export__.unidadesmedida_J87,J87,cubic centimetre per cubic metre,
__export__.unidadesmedida_J91,J91,cubic decimetre per cubic metre,
__export__.unidadesmedida_K62,K62,litre per litre,
__export__.unidadesmedida_L19,L19,millilitre per litre,
__export__.unidadesmedida_L21,L21,cubic millimetre per cubic metre,
__export__.unidadesmedida_SEC,SEC,second [unit of time],
__export__.unidadesmedida_MIN,MIN,minute [unit of time],
__export__.unidadesmedida_HUR,HUR,hour,
__export__.unidadesmedida_DAY,DAY,day,
__export__.unidadesmedida_B52,B52,kilosecond,
__export__.unidadesmedida_C26,C26,millisecond,
__export__.unidadesmedida_H70,H70,picosecond,
__export__.unidadesmedida_B98,B98,microsecond,
__export__.unidadesmedida_C47,C47,nanosecond,
__export__.unidadesmedida_WEE,WEE,week,
__export__.unidadesmedida_MON,MON,month,"Unit of time equal to 1/12 of a year of 365,25 days."
__export__.unidadesmedida_ANN,ANN,year,"Unit of time equal to 365,25 days.
Synonym: Julian year"
__export__.unidadesmedida_D42,D42,tropical year,"Unit of time equal to about 365.242 19 days.
Synonym: solar year"
__export__.unidadesmedida_L95,L95,common year,
__export__.unidadesmedida_L96,L96,sidereal year,
__export__.unidadesmedida_M56,M56,shake,Unit for a very short period.
__export__.unidadesmedida_2A,2A,radian per second,Refer ISO/TC12 SI Guide
__export__.unidadesmedida_M46,M46,revolution per minute ,Unit of the angular velocity.
__export__.unidadesmedida_2B,2B,radian per second squared,Refer ISO/TC12 SI Guide
__export__.unidadesmedida_M45,M45,degree [unit of angle] per second squared,360 part of a full circle divided by the power of the SI base unit second and the exponent 2.
__export__.unidadesmedida_MTS,MTS,metre per second,
__export__.unidadesmedida_KNT,KNT,knot,
__export__.unidadesmedida_KMH,KMH,kilometre per hour,
__export__.unidadesmedida_C16,C16,millimetre per second,
__export__.unidadesmedida_2M,2M,centimetre per second,
__export__.unidadesmedida_H49,H49,centimetre per hour,
__export__.unidadesmedida_H81,H81,millimetre per minute,
__export__.unidadesmedida_2X,2X,metre per minute,
__export__.unidadesmedida_M59,M59,metre per second pascal,SI base unit meter divided by the product of SI base unit second and the derived SI unit pascal.
__export__.unidadesmedida_H66,H66,millimetre per year,
__export__.unidadesmedida_H67,H67,millimetre per hour,
__export__.unidadesmedida_FR,FR,foot per minute,
__export__.unidadesmedida_IU,IU,inch per second,
__export__.unidadesmedida_IU,IU,inch per second,
__export__.unidadesmedida_FS,FS,foot per second,
__export__.unidadesmedida_HM,HM,mile per hour (statute mile),
__export__.unidadesmedida_J84,J84,centimetre per second kelvin,
__export__.unidadesmedida_J85,J85,centimetre per second bar,
__export__.unidadesmedida_K14,K14,foot per hour,
__export__.unidadesmedida_K18,K18,foot per second degree Fahrenheit,
__export__.unidadesmedida_K19,K19,foot per second psi,
__export__.unidadesmedida_K47,K47,inch per second degree Fahrenheit,
__export__.unidadesmedida_K48,K48,inch per second psi,
__export__.unidadesmedida_L12,L12,metre per second kelvin,
__export__.unidadesmedida_L13,L13,metre per second bar,
__export__.unidadesmedida_M22,M22,millilitre per square centimetre minute,
__export__.unidadesmedida_M57,M57,mile per minute ,Unit of velocity from the Imperial system of units.
__export__.unidadesmedida_M58,M58,mile per second ,Unit of the velocity from the Imperial system of units.
__export__.unidadesmedida_M60,M60,metre per hour,SI base unit metre divided by the unit hour.
__export__.unidadesmedida_M61,M61,inch per year,Unit of the length according to the Anglo-American and Imperial system of units divided by the unit common year with 365 days.
__export__.unidadesmedida_M62,M62,kilometre per second ,1000-fold of the SI base unit metre divided by the SI base unit second.
__export__.unidadesmedida_M63,M63,inch per minute,Unit inch according to the Anglo-American and Imperial system of units divided by the unit minute.
__export__.unidadesmedida_M64,M64,yard per second,Unit yard according to the Anglo-American and Imperial system of units divided by the SI base unit second.
__export__.unidadesmedida_M65,M65,yard per minute,Unit yard according to the Anglo-American and Imperial system of units divided by the unit minute.
__export__.unidadesmedida_M66,M66,yard per hour,Unit yard according to the Anglo-American and Imperial system of units divided by the unit hour.
__export__.unidadesmedida_MSK,MSK,metre per second squared,
__export__.unidadesmedida_A76,A76,gal,
__export__.unidadesmedida_C11,C11,milligal,
__export__.unidadesmedida_M38,M38,kilometre per second squared,1000-fold of the SI base unit metre divided by the power of the SI base unit second by exponent 2.
__export__.unidadesmedida_M39,M39,centimetre per second squared,"0,01-fold of the SI base unit metre divided by the power of the SI base unit second by exponent 2."
__export__.unidadesmedida_M41,M41,millimetre per second squared,"0,001-fold of the SI base unit metre divided by the power of the SI base unit second by exponent 2."
__export__.unidadesmedida_A73,A73,foot per second squared,
__export__.unidadesmedida_IV,IV,inch per second squared,
__export__.unidadesmedida_K40,K40,standard acceleration of free fall,
__export__.unidadesmedida_M40,M40,yard per second squared,Unit of the length according to the Anglo-American and Imperial system of units divided by the power of the SI base unit second by exponent 2.
__export__.unidadesmedida_M42,M42,mile (statute mile) per second squared,Unit of the length according to the Imperial system of units divided by the power of the SI base unit second by exponent 2.
__export__.unidadesmedida_C92,C92,reciprocal metre,
__export__.unidadesmedida_Q32,Q32,femtolitre,
__export__.unidadesmedida_Q33,Q33,picolitre,
__export__.unidadesmedida_Q34,Q34,nanolitre,
__export__.unidadesmedida_AWG,AWG,american wire gauge,A unit of distance used for measuring the diameter of small tubes or wires such as the outer diameter od hypodermic or suture needles.
__export__.unidadesmedida_NM3,NM3,Normalised cubic metre,Normalised cubic metre (temperature 0°C and pressure 101325 millibars )
__export__.unidadesmedida_SM3,SM3,Standard cubic metre,Standard cubic metre (temperature 15°C and pressure 101325 millibars )
__export__.unidadesmedida_HTZ,HTZ,hertz,
__export__.unidadesmedida_KHZ,KHZ,kilohertz,
__export__.unidadesmedida_MHZ,MHZ,megahertz,
__export__.unidadesmedida_D29,D29,terahertz,
__export__.unidadesmedida_A86,A86,gigahertz,
__export__.unidadesmedida_H10,H10,reciprocal hour,
__export__.unidadesmedida_H11,H11,reciprocal month,
__export__.unidadesmedida_H09,H09,reciprocal year,
__export__.unidadesmedida_H85,H85,reciprocal week,
__export__.unidadesmedida_C97,C97,reciprocal second,
__export__.unidadesmedida_RPS,RPS,revolutions per second,Refer ISO/TC12 SI Guide
__export__.unidadesmedida_RPM,RPM,revolutions per minute,Refer ISO/TC12 SI Guide
__export__.unidadesmedida_C94,C94,reciprocal minute,
__export__.unidadesmedida_2A,2A,radian per second,Refer ISO/TC12 SI Guide
__export__.unidadesmedida_C97,C97,reciprocal second,
__export__.unidadesmedida_MTR,MTR,metre,
__export__.unidadesmedida_A11,A11,angstrom,
__export__.unidadesmedida_C92,C92,reciprocal metre,
__export__.unidadesmedida_C50,C50,neper,
__export__.unidadesmedida_2N,2N,decibel,
__export__.unidadesmedida_M72,M72,bel,Logarithmic relationship to base 10.
__export__.unidadesmedida_C97,C97,reciprocal second,
__export__.unidadesmedida_C51,C51,neper per second,
__export__.unidadesmedida_C50,C50,neper,
__export__.unidadesmedida_KGM,KGM,kilogram,A unit of mass equal to one thousand grams.
__export__.unidadesmedida_MC,MC,microgram,
__export__.unidadesmedida_DJ,DJ,decagram,
__export__.unidadesmedida_DG,DG,decigram,
__export__.unidadesmedida_GRM,GRM,gram,
__export__.unidadesmedida_CGM,CGM,centigram,
__export__.unidadesmedida_TNE,TNE,tonne (metric ton),Synonym: metric ton
__export__.unidadesmedida_DTN,DTN,decitonne,"Synonym: centner, metric 100 kg; quintal, metric 100 kg"
__export__.unidadesmedida_MGM,MGM,milligram,
__export__.unidadesmedida_HGM,HGM,hectogram,
__export__.unidadesmedida_KTN,KTN,kilotonne,
__export__.unidadesmedida_2U,2U,megagram,
__export__.unidadesmedida_LBR,LBR,pound,
__export__.unidadesmedida_GRN,GRN,grain,
__export__.unidadesmedida_ONZ,ONZ,ounce (avoirdupois),
__export__.unidadesmedida_CWI,CWI,hundred weight (UK),
__export__.unidadesmedida_CWA,CWA,hundred pound (cwt) / hundred weight (US),
__export__.unidadesmedida_LTN,LTN,ton (UK) or long ton (US),Synonym: gross ton (2240 lb)
__export__.unidadesmedida_STI,STI,stone (UK),
__export__.unidadesmedida_STN,STN,ton (US) or short ton (UK/US),Synonym: net ton (2000 lb)
__export__.unidadesmedida_APZ,APZ,troy ounce or apothecary ounce,
__export__.unidadesmedida_F13,F13,slug,A unit of mass. One slug is the mass accelerated at 1 foot per second per second by a force of 1 pound.
__export__.unidadesmedida_K64,K64,pound (avoirdupois) per degree Fahrenheit,
__export__.unidadesmedida_L69,L69,tonne per kelvin,
__export__.unidadesmedida_L87,L87,ton short per degree Fahrenheit,
__export__.unidadesmedida_M85,M85,"ton, assay",Non SI-conforming unit of the mass used in the mineralogy to determine the concentration of precious metals in ore according to the mass of the precious metal in milligrams in a sample of the mass of an assay sound (number of troy ounces in a short ton (1 000 lb)).
__export__.unidadesmedida_M86,M86,pfund,Outdated unit of the mass used in Germany.
__export__.unidadesmedida_KMQ,KMQ,kilogram per cubic metre,A unit of weight expressed in kilograms of a substance that fills a volume of one cubic metre.
__export__.unidadesmedida_23,23,gram per cubic centimetre,
__export__.unidadesmedida_D41,D41,tonne per cubic metre,
__export__.unidadesmedida_GJ,GJ,gram per millilitre,
__export__.unidadesmedida_B35,B35,kilogram per litre,
__export__.unidadesmedida_GL,GL,gram per litre,
__export__.unidadesmedida_A93,A93,gram per cubic metre,
__export__.unidadesmedida_GP,GP,milligram per cubic metre,
__export__.unidadesmedida_B72,B72,megagram per cubic metre,
__export__.unidadesmedida_B34,B34,kilogram per cubic decimetre,
__export__.unidadesmedida_H64,H64,milligram per gram,
__export__.unidadesmedida_H29,H29,microgram per litre,
__export__.unidadesmedida_M1,M1,milligram per litre,
__export__.unidadesmedida_GQ,GQ,microgram per cubic metre,
__export__.unidadesmedida_G11,G11,gram per cubic centimetre bar,
__export__.unidadesmedida_G33,G33,gram per cubic centimetre kelvin,
__export__.unidadesmedida_F23,F23,gram per cubic decimetre,
__export__.unidadesmedida_G12,G12,gram per cubic decimetre bar,
__export__.unidadesmedida_G34,G34,gram per cubic decimetre kelvin,
__export__.unidadesmedida_G14,G14,gram per cubic metre bar,
__export__.unidadesmedida_G36,G36,gram per cubic metre kelvin,
__export__.unidadesmedida_G13,G13,gram per litre bar,
__export__.unidadesmedida_G35,G35,gram per litre kelvin,
__export__.unidadesmedida_G15,G15,gram per millilitre bar,
__export__.unidadesmedida_G37,G37,gram per millilitre kelvin,
__export__.unidadesmedida_G31,G31,kilogram per cubic centimetre,
__export__.unidadesmedida_G16,G16,kilogram per cubic centimetre bar,
__export__.unidadesmedida_G38,G38,kilogram per cubic centimetre kelvin,
__export__.unidadesmedida_G18,G18,kilogram per cubic metre bar,
__export__.unidadesmedida_G40,G40,kilogram per cubic metre kelvin,
__export__.unidadesmedida_H54,H54,kilogram per cubic decimetre kelvin,
__export__.unidadesmedida_H55,H55,kilogram per cubic decimetre bar,
__export__.unidadesmedida_F14,F14,gram per kelvin,
__export__.unidadesmedida_F15,F15,kilogram per kelvin,
__export__.unidadesmedida_F24,F24,kilogram per kilomol,
__export__.unidadesmedida_G17,G17,kilogram per litre bar,
__export__.unidadesmedida_G39,G39,kilogram per litre kelvin,
__export__.unidadesmedida_H53,H53,kilogram per bar,
__export__.unidadesmedida_F18,F18,kilogram square centimetre,
__export__.unidadesmedida_F19,F19,kilogram square millimetre,
__export__.unidadesmedida_F74,F74,gram per bar,
__export__.unidadesmedida_F75,F75,milligram per bar,
__export__.unidadesmedida_F16,F16,milligram per kelvin,
__export__.unidadesmedida_M73,M73,kilogram per cubic metre pascal,SI base unit kilogram divided by the product of the power of the SI base unit metre with exponent 3 and the derived SI unit pascal.
__export__.unidadesmedida_87,87,pound per cubic foot,
__export__.unidadesmedida_GE,GE,pound per gallon (US),
__export__.unidadesmedida_LA,LA,pound per cubic inch,
__export__.unidadesmedida_G32,G32,ounce (avoirdupois) per cubic yard,
__export__.unidadesmedida_J34,J34,microgram per cubic metre kelvin,
__export__.unidadesmedida_J35,J35,microgram per cubic metre bar,
__export__.unidadesmedida_K41,K41,grain per gallon (US),
__export__.unidadesmedida_K69,K69,pound (avoirdupois) per cubic foot degree Fahrenheit,
__export__.unidadesmedida_K70,K70,pound (avoirdupois) per cubic foot psi,
__export__.unidadesmedida_K71,K71,pound (avoirdupois) per gallon (UK),
__export__.unidadesmedida_K75,K75,pound (avoirdupois) per cubic inch degree Fahrenheit,
__export__.unidadesmedida_K76,K76,pound (avoirdupois) per cubic inch psi,
__export__.unidadesmedida_K84,K84,pound per cubic yard,
__export__.unidadesmedida_L17,L17,milligram per cubic metre kelvin,
__export__.unidadesmedida_L18,L18,milligram per cubic metre bar,
__export__.unidadesmedida_L37,L37,ounce (avoirdupois) per gallon (UK),
__export__.unidadesmedida_L38,L38,ounce (avoirdupois) per gallon (US),
__export__.unidadesmedida_L39,L39,ounce (avoirdupois) per cubic inch,
__export__.unidadesmedida_L65,L65,slug per cubic foot,
__export__.unidadesmedida_L76,L76,tonne per cubic metre kelvin,
__export__.unidadesmedida_L77,L77,tonne per cubic metre bar,
__export__.unidadesmedida_L92,L92,ton (UK long) per cubic yard,
__export__.unidadesmedida_L93,L93,ton (US short) per cubic yard,
__export__.unidadesmedida_K77,K77,pound (avoirdupois) per psi,
__export__.unidadesmedida_L70,L70,tonne per bar,
__export__.unidadesmedida_L91,L91,ton short per psi,
__export__.unidadesmedida_M74,M74,kilogram per pascal,SI base unit kilogram divided by the derived SI unit pascal.
__export__.unidadesmedida_C62,C62,one,Synonym: unit
__export__.unidadesmedida_A39,A39,cubic metre per kilogram,
__export__.unidadesmedida_22,22,decilitre per gram,
