id,clave,name
__export__.prodserv_10152005,10152005,Plántulas de coníferas
__export__.prodserv_10152006,10152006,Semillas o yemas de pino
__export__.prodserv_10152007,10152007,Semillas o yemas de algarrobo
__export__.prodserv_10152100,10152100,Residuos que no sean de piensos
__export__.prodserv_10152101,10152101,Extracción de los residuos de semilla de babool
__export__.prodserv_10152102,10152102,Residuos de semilla de colza
__export__.prodserv_10152103,10152103,Residuo de semillas de linaza
__export__.prodserv_10152104,10152104,Torta de neem
__export__.prodserv_10152200,10152200,Semillas de cultivos fibrosos y semilleros
__export__.prodserv_10152201,10152201,Semillas o plántulas de algodón
__export__.prodserv_10152202,10152202,Semillas o plántulas de lino
__export__.prodserv_10152300,10152300,Plántulas y semillas de leguminosas
__export__.prodserv_10152400,10152400,Plántulas y semillas de tubérculos
__export__.prodserv_10161500,10161500,Árboles y arbustos
__export__.prodserv_10161501,10161501,Aceitunos
__export__.prodserv_10161502,10161502,Cafetos
__export__.prodserv_10161503,10161503,Cacaoteros
__export__.prodserv_10161504,10161504,Manzanos
__export__.prodserv_10161505,10161505,Peros
__export__.prodserv_10161506,10161506,Naranjos
__export__.prodserv_10161507,10161507,Rododendros
__export__.prodserv_10161508,10161508,Plantas de te
__export__.prodserv_10161509,10161509,Coníferas
__export__.prodserv_10161510,10161510,Abetos rojos (píceas)
__export__.prodserv_10161511,10161511,Pinos
__export__.prodserv_10161512,10161512,Abetos
__export__.prodserv_10161513,10161513,Palmeras
__export__.prodserv_10161514,10161514,Casuarina
__export__.prodserv_10161515,10161515,Ciprés
__export__.prodserv_10161516,10161516,Eucalipto
__export__.prodserv_10161517,10161517,Árbol de quinua
__export__.prodserv_10161518,10161518,Magnolio
__export__.prodserv_10161519,10161519,Mioporo
__export__.prodserv_10161520,10161520,Acalifa
__export__.prodserv_10161521,10161521,Tecomaria capensis o madreselva del cabo
__export__.prodserv_10161522,10161522,Arbusto croton bolaina
__export__.prodserv_10161523,10161523,Abutillón
__export__.prodserv_10161524,10161524,Ficus
__export__.prodserv_10161525,10161525,Lúcumo
__export__.prodserv_10161526,10161526,Aguacatal
__export__.prodserv_10161527,10161527,Guanábano
__export__.prodserv_10161528,10161528,Carambolo
__export__.prodserv_10161529,10161529,Ciruelo
__export__.prodserv_10161530,10161530,Árbol de quince
__export__.prodserv_10161600,10161600,Plantas florales
__export__.prodserv_10161602,10161602,Poinsettias
__export__.prodserv_10161604,10161604,Azaleas
__export__.prodserv_10161605,10161605,Cactos
__export__.prodserv_10161606,10161606,Ageratum púrpura
__export__.prodserv_10161800,10161800,Plantas sin flor
__export__.prodserv_10161801,10161801,Helechos
__export__.prodserv_10161802,10161802,Hiedras
__export__.prodserv_10161803,10161803,Filodendros
__export__.prodserv_10161804,10161804,Líquenes
__export__.prodserv_10161805,10161805,Vides
__export__.prodserv_10161900,10161900,Productos florales secos
__export__.prodserv_10161901,10161901,Vainas secas
__export__.prodserv_10161902,10161902,Follaje seco
__export__.prodserv_10161903,10161903,Helechos secos
__export__.prodserv_10161905,10161905,Ramas y tallos secos
__export__.prodserv_10161906,10161906,Penachos de gramíneas secos
__export__.prodserv_10161907,10161907,Flores secas prensadas
__export__.prodserv_10161908,10161908,Pétalos secos
__export__.prodserv_10171500,10171500,Abonos orgánicos y nutrientes para plantas
__export__.prodserv_10171501,10171501,Estiércol o guano
__export__.prodserv_10171502,10171502,Hormonas para plantas
__export__.prodserv_10171503,10171503,Harina de pescado
__export__.prodserv_10171504,10171504,Abono
__export__.prodserv_10171505,10171505,Nutriente foliar
__export__.prodserv_10171506,10171506,Humus
__export__.prodserv_10171600,10171600,Abonos químicos y nutrientes para plantas
__export__.prodserv_10171601,10171601,Fertilizante nitrogenado
__export__.prodserv_10171602,10171602,Fertilizante de potasio
__export__.prodserv_10171603,10171603,Fertilizante de fósforo
__export__.prodserv_10171604,10171604,Fertilizante de sulfuro
__export__.prodserv_10171605,10171605,Mezclas de nitrógeno – fósforo – potasio – npk
__export__.prodserv_10171606,10171606,Fertilizarte de sílice puro
__export__.prodserv_10171607,10171607,Fertilizante con magnesio
__export__.prodserv_10171608,10171608,Fertilizante micro elemento
__export__.prodserv_10171609,10171609,Fertilizante fosfato de sílice
__export__.prodserv_10171610,10171610,Fertilizante potasio de sílice
